dataset,method,config,accuracy,kappa_m,n_instances,filename
agrawal_a,ARTE,mw10,0.844085,0.669462,1000000,ARTE_CPU_agrawal_a_mw10_s123456789_20260405_172207.csv
airlines,ARTE,mw10,0.640508,0.192954,539383,ARTE_CPU_airlines_mw10_s123456789_20260405_172202.csv
covtype,ARTE,mw10,0.957197,0.916466,581012,ARTE_CPU_covtype_mw10_s123456789_20260405_172209.csv
electricity,ARTE,mw10,0.902233,0.769715,45312,ARTE_CPU_electricity_mw10_s123456789_20260405_163554.csv
electricity,ARTE,mw5,0.903734,0.773249,45312,ARTE_CPU_electricity_mw5_s123456789_20260405_132945.csv
electricity,ARTE,s123456789_20260317_201200,0.908876,0.785362,45312,ARTE_CPU_electricity_s123456789_20260317_201200.csv
electricity,ARTE,s123456789_20260318_000454,0.906449,0.779643,45312,ARTE_CPU_electricity_s123456789_20260318_000454.csv
gassensor,ARTE,mw10,0.952624,0.939547,13910,ARTE_CPU_gassensor_mw10_s123456789_20260405_161853.csv
gmsc,ARTE,mw10,0.936293,0.046878,150000,ARTE_CPU_gmsc_mw10_s123456789_20260405_163558.csv
led_a,ARTE,mw10,0.740464,0.711360,1000000,ARTE_CPU_led_a_mw10_s123456789_20260417_223244.csv
led_g,ARTE,mw10,0.731091,0.700939,1000000,ARTE_CPU_led_g_mw10_s123456789_20260405_201515.csv
mixed_a,ARTE,mw10,0.995539,0.991078,1000000,ARTE_CPU_mixed_a_mw10_s123456789_20260406_000714.csv
mixed_g,ARTE,mw10,0.941492,0.882984,1000000,ARTE_CPU_mixed_g_mw10_s123456789_20260406_000715.csv
outdoor,ARTE,mw10,0.856250,0.852564,4000,ARTE_CPU_outdoor_mw10_s123456789_20260405_161852.csv
ozone,ARTE,mw10,0.938043,0.018750,2534,ARTE_CPU_ozone_mw10_s123456789_20260405_161851.csv
rbf_f,ARTE,mw10,0.782186,0.688794,1000000,ARTE_CPU_rbf_f_mw10_s123456789_20260406_000718.csv
rbf_m,ARTE,mw10,0.873546,0.819327,1000000,ARTE_CPU_rbf_m_mw10_s123456789_20260406_000719.csv
rialto,ARTE,mw10,0.840997,0.823330,82250,ARTE_CPU_rialto_mw10_s123456789_20260405_163556.csv
sea_a,ARTE,mw10,0.897347,0.743940,1000000,ARTE_CPU_sea_a_mw10_s123456789_20260405_201510.csv
sea_g,ARTE,mw10,0.892892,0.732831,1000000,ARTE_CPU_sea_g_mw10_s123456789_20260405_201511.csv
shuttle,ARTE,mw10,0.996983,0.985902,57999,ARTE_CPU_shuttle_mw10_s123456789_20260405_163555.csv
agrawal_a,NeuralARTE,abc_cnn_nodrift,0.875952,0.737019,1000000,NeuralARTE_agrawal_a_abc_cnn_nodrift_s123456789_20260418_040916.csv
agrawal_g,NeuralARTE,abc_cnn_nodrift,0.829792,0.639186,1000000,NeuralARTE_agrawal_g_abc_cnn_nodrift_s123456789_20260418_040918.csv
airlines,NeuralARTE,abc_adwin_dir,0.590658,0.081044,539383,NeuralARTE_airlines_abc_adwin_dir_s123456789_20260406_083343.csv
airlines,NeuralARTE,abc_cnn_adwin_dir,0.587607,0.074193,539383,NeuralARTE_airlines_abc_cnn_adwin_dir_s123456789_20260406_014938.csv
airlines,NeuralARTE,abc_cnn_nodrift,0.588769,0.076803,539383,NeuralARTE_airlines_abc_cnn_nodrift_s123456789_20260417_233724.csv
airlines,NeuralARTE,abc_nodrift,0.588389,0.075950,539383,NeuralARTE_airlines_abc_nodrift_s123456789_20260406_112634.csv
airlines,NeuralARTE,abc_proj_adwin_dir,0.589575,0.078614,539383,NeuralARTE_airlines_abc_proj_adwin_dir_s123456789_20260406_133746.csv
airlines,NeuralARTE,abc_proj_nodrift,0.590241,0.080108,539383,NeuralARTE_airlines_abc_proj_nodrift_s123456789_20260406_181158.csv
airlines,NeuralARTE,current_adwin_dir,0.588912,0.077123,539383,NeuralARTE_airlines_current_adwin_dir_s123456789_20260406_191246.csv
airlines,NeuralARTE,current_nodrift,0.596005,0.093048,539383,NeuralARTE_airlines_current_nodrift_s123456789_20260406_102733.csv
covtype,NeuralARTE,abc_adwin_dir,0.932499,0.868265,581012,NeuralARTE_covtype_abc_adwin_dir_s123456789_20260406_112711.csv
covtype,NeuralARTE,abc_cnn_adwin_dir,0.922411,0.848578,581012,NeuralARTE_covtype_abc_cnn_adwin_dir_s123456789_20260406_001841.csv
covtype,NeuralARTE,abc_cnn_nodrift,0.900133,0.805100,581012,NeuralARTE_covtype_abc_cnn_nodrift_s123456789_20260417_233719.csv
covtype,NeuralARTE,abc_nodrift,0.906541,0.817605,581012,NeuralARTE_covtype_abc_nodrift_s123456789_20260406_085936.csv
covtype,NeuralARTE,abc_proj_adwin_dir,0.931638,0.866585,581012,NeuralARTE_covtype_abc_proj_adwin_dir_s123456789_20260406_170432.csv
