Instancia,Dataset,Seed,Accuracy,Kappa,GMean,Latencia_ms,Drifts,RAM_MB,VRAM_MB,T_Prep,T_Pred,T_Learn
2016,elec2,123456789,0.9161706349206349,0.8254346917193379,0.912646066794697,34.42071718750128,49,979.41015625,32.2705078125,0.0009335510003438685,0.00490463900132454,0.04982270099935704
4000,elec2,123456789,0.9305,0.8549028736538066,0.9269371820905588,28.00760708436485,81,979.78515625,32.2705078125,0.0010259810005663894,0.002615707999211736,0.009172215000944561
6016,elec2,123456789,0.9258643617021277,0.8441708567462063,0.9200465303321784,36.65159093906709,118,979.78515625,32.2705078125,0.0010086849997605896,0.004677806999097811,0.04947466399971745
8000,elec2,123456789,0.921875,0.8384209617391178,0.9174285349012223,42.99715937500821,157,979.78515625,32.2705078125,0.0010287770001013996,0.005075090000900673,0.05697535200124548
10016,elec2,123456789,0.9279153354632588,0.852983655087721,0.9254354069426572,41.04101319531139,187,979.78515625,32.2705078125,0.0010842600004252745,0.004709896000349545,0.053321956998843234
12000,elec2,123456789,0.92625,0.8499816079146427,0.9241152579106886,40.194718270313956,233,979.91015625,31.919921875,0.0009111259987548692,0.0031733609994262224,0.014968984000006458
14016,elec2,123456789,0.9225171232876712,0.8430783002722396,0.9207730592219814,27.654783570307018,242,979.91015625,32.353515625,0.0009387400004925439,0.005529497000679839,0.013202336000176729
16000,elec2,123456789,0.91925,0.8361389024017398,0.9170398265965161,44.42236252187968,269,979.91015625,32.24658203125,0.00097827800163941,0.005006800000046496,0.014567999000064447
18016,elec2,123456789,0.9146314387211367,0.8261823855032012,0.9119215462254435,35.800938865628495,298,979.91015625,31.919921875,0.0010061630000564037,0.005318564999470254,0.0346027170016896
20000,elec2,123456789,0.91475,0.826384515266483,0.9120444520496546,37.38473012968484,323,979.91015625,32.353515625,0.0009979629994631978,0.0053004329984105425,0.09960352099915326
22016,elec2,123456789,0.9103379360465116,0.8164908042560454,0.906604484568989,37.65049776407352,374,979.91015625,32.353515625,0.0010331890007364564,0.002960593999887351,0.009123382000325364
24000,elec2,123456789,0.9060416666666666,0.8075316657353361,0.9020602943195536,44.71140774217872,442,979.91015625,32.353515625,0.0009968859994842205,0.004975865000233171,0.009289821000493248
26016,elec2,123456789,0.9056734317343174,0.8066078852548378,0.9016692654842453,39.478798717189534,469,979.91015625,32.353515625,0.0010058150000986643,0.004320353000366595,0.009162921998722595
28000,elec2,123456789,0.9054642857142857,0.8060797113590329,0.9014366015902271,32.92877774062504,511,979.91015625,32.353515625,0.0010136820001207525,0.0030270809984358493,0.10019778200148721
30016,elec2,123456789,0.9038179637526652,0.8023741431951968,0.8995644943570731,34.653133074994,525,979.91015625,32.353515625,0.000984510999842314,0.005414334998931736,0.009810412000661017
32000,elec2,123456789,0.90046875,0.7953272339992247,0.8960618547412222,36.845218154689974,544,979.91015625,32.353515625,0.0009304220002377406,0.00398297699939576,0.014244858000893146
34016,elec2,123456789,0.8981655691439323,0.7905888827503287,0.8937156753504065,38.814924439060405,568,979.91015625,32.353515625,0.0009858120010903804,0.002557825999247143,0.04569053600062034
36000,elec2,123456789,0.8973888888888889,0.7885118755104793,0.8925963892098573,34.347601007812045,578,979.91015625,32.353515625,0.0009508559996902477,0.004247611999744549,0.036271556999054155
38016,elec2,123456789,0.897332702020202,0.7878007916412687,0.8921604252970872,34.99064036093671,590,980.03515625,32.353515625,0.0009250399998563807,0.0042055129997606855,0.05834032199891226
40000,elec2,123456789,0.897675,0.7893068679835339,0.8931646107352718,40.98981726406805,608,980.03515625,32.353515625,0.0009740240002429346,0.0068096869999862975,0.06107136399987212
42016,elec2,123456789,0.8987052551408987,0.7921509765027119,0.894783177783415,42.39583214220204,625,980.03515625,32.353515625,0.0009931829990819097,0.0038514459993166383,0.03262969100069313
44000,elec2,123456789,0.8978863636363636,0.7903855883884974,0.8938507266933541,33.80100734218274,648,980.03515625,32.24658203125,0.0009917939987644786,0.004689902998507023,0.010856480999791529
